tic_id,n_raw,n_after_nan,n_after_clip,n_clean,clip_pct,median_flux,sg_window_days,status
TIC_2054445521,82506.0,82506.0,82501.0,82501.0,0.01,1.0,3.0,cleaned
TIC_257325189,15105.0,15105.0,15105.0,15105.0,0.0,1.0,3.0,cleaned
TIC_257342510,34274.0,34274.0,34274.0,34274.0,0.0,1.0,3.0,cleaned
TIC_257387983,65282.0,65282.0,65282.0,65282.0,0.0,1.0,3.0,cleaned
TIC_257726702,82506.0,82506.0,82501.0,82501.0,0.01,1.0,3.0,cleaned
TIC_257738202,33929.0,33929.0,33929.0,33929.0,0.0,1.0,3.0,cleaned
TIC_257738254,85498.0,85498.0,85461.0,85461.0,0.04,1.000002,3.0,cleaned
TIC_257772053,34845.0,34845.0,34845.0,34845.0,0.0,1.0,3.0,cleaned
TIC_267168728,34261.0,34261.0,34259.0,34259.0,0.01,1.0,3.0,cleaned
TIC_267194964,70013.0,70013.0,70011.0,70011.0,0.0,1.0,3.0,cleaned
TIC_270278652,49435.0,49435.0,49433.0,49433.0,0.0,1.0,3.0,cleaned
TIC_270278779,34505.0,34505.0,34505.0,34505.0,0.0,1.0,3.0,cleaned
TIC_274151135,115557.0,115557.0,115557.0,115557.0,0.0,1.0,3.0,cleaned
TIC_274226393,50042.0,50042.0,50037.0,50037.0,0.01,1.0,3.0,cleaned
TIC_274226401,33885.0,33885.0,33884.0,33884.0,0.0,1.0,3.0,cleaned
TIC_274228124,34526.0,34526.0,34522.0,34522.0,0.01,1.0,3.0,cleaned
TIC_279799236,33965.0,33965.0,33965.0,33965.0,0.0,1.0,3.0,cleaned
TIC_290492819,,,,,,,,skipped
TIC_302994978,33869.0,33869.0,33869.0,33869.0,0.0,1.0,3.0,cleaned
TIC_317154919,70014.0,70014.0,70013.0,70013.0,0.0,1.0,3.0,cleaned
TIC_317328068,15101.0,15101.0,15101.0,15101.0,0.0,1.0,3.0,cleaned
TIC_317351809,14609.0,14609.0,14609.0,14609.0,0.0,1.0,3.0,cleaned
TIC_318237210,19434.0,19434.0,19432.0,19432.0,0.01,1.0,3.0,cleaned
TIC_318273916,34373.0,34373.0,34373.0,34373.0,0.0,1.0,3.0,cleaned
TIC_318273949,15102.0,15102.0,15102.0,15102.0,0.0,1.0,3.0,cleaned
TIC_318612552,49488.0,49488.0,49459.0,49459.0,0.06,1.00001,3.0,cleaned
TIC_318612553,83643.0,83643.0,83643.0,83643.0,0.0,1.0,3.0,cleaned
TIC_318614521,66472.0,66472.0,66471.0,66471.0,0.0,1.0,3.0,cleaned
TIC_321154297,34455.0,34455.0,34453.0,34453.0,0.01,1.0,3.0,cleaned
TIC_325561359,19335.0,19335.0,19335.0,19335.0,0.0,1.0,3.0,cleaned
TIC_327853078,85260.0,85260.0,85255.0,85255.0,0.01,1.0,3.0,cleaned
TIC_327856665,19377.0,19377.0,19377.0,19377.0,0.0,1.0,3.0,cleaned
TIC_346745925,15101.0,15101.0,15101.0,15101.0,0.0,1.0,3.0,cleaned
TIC_369366139,30038.0,30038.0,30038.0,30038.0,0.0,1.0,3.0,cleaned
TIC_388242391,34536.0,34536.0,34534.0,34534.0,0.01,1.0,3.0,cleaned
TIC_388242409,34316.0,34316.0,34316.0,34316.0,0.0,1.0,3.0,cleaned
TIC_394758096,33919.0,33919.0,33919.0,33919.0,0.0,1.0,3.0,cleaned
TIC_401796943,69990.0,69990.0,69984.0,69984.0,0.01,1.0,3.0,cleaned
TIC_401819729,34964.0,34964.0,34964.0,34964.0,0.0,1.0,3.0,cleaned
TIC_401821603,14631.0,14631.0,14631.0,14631.0,0.0,1.0,3.0,cleaned
TIC_405459430,19375.0,19375.0,19375.0,19375.0,0.0,1.0,3.0,cleaned
TIC_405465759,34533.0,34533.0,34532.0,34532.0,0.0,1.0,3.0,cleaned
TIC_405467230,84553.0,84553.0,84551.0,84551.0,0.0,1.0,3.0,cleaned
TIC_405476976,34534.0,34534.0,34534.0,34534.0,0.0,1.0,3.0,cleaned
TIC_405478524,34278.0,34278.0,34278.0,34278.0,0.0,1.0,3.0,cleaned
TIC_410305216,33964.0,33964.0,33964.0,33964.0,0.0,1.0,3.0,cleaned
TIC_410306905,34519.0,34519.0,34516.0,34516.0,0.01,1.0,3.0,cleaned
TIC_410339800,34239.0,34239.0,34239.0,34239.0,0.0,1.0,3.0,cleaned
TIC_410390728,119754.0,119754.0,119749.0,119749.0,0.0,1.0,3.0,cleaned
TIC_415972720,34543.0,34543.0,34543.0,34543.0,0.0,1.0,3.0,cleaned
TIC_419637774,34264.0,34264.0,34264.0,34264.0,0.0,1.0,3.0,cleaned
TIC_419666736,,,,,,,,skipped
TIC_451527506,15103.0,15103.0,15103.0,15103.0,0.0,1.0,3.0,cleaned
TIC_451560638,19437.0,19437.0,19437.0,19437.0,0.0,1.0,3.0,cleaned
TIC_451598465,15030.0,15030.0,15030.0,15030.0,0.0,1.0,3.0,cleaned
TIC_451606547,15063.0,15063.0,15063.0,15063.0,0.0,1.0,3.0,cleaned
TIC_468148894,34113.0,34113.0,34113.0,34113.0,0.0,1.0,3.0,cleaned
TIC_468155076,98559.0,98559.0,98559.0,98559.0,0.0,1.0,3.0,cleaned
TIC_468182953,14982.0,14982.0,14982.0,14982.0,0.0,1.0,3.0,cleaned
TIC_468184895,,,,,,,,skipped
TIC_468186783,34361.0,34361.0,34336.0,34336.0,0.07,0.999999,3.0,cleaned
TIC_468190615,29580.0,29580.0,29580.0,29580.0,0.0,1.0,3.0,cleaned
TIC_471016495,48412.0,48412.0,48412.0,48412.0,0.0,1.0,3.0,cleaned
