column,null_count,null_pct,fill_pct,dtype,n_unique
SDSS,103281,1.0,0.0,float64,1
KIC,103281,1.0,0.0,float64,1
prox,103281,1.0,0.0,float64,1
e_zmag,103281,1.0,0.0,float64,1
zmag,103281,1.0,0.0,float64,1
rmag,103281,1.0,0.0,float64,1
e_rmag,103281,1.0,0.0,float64,1
imag,103281,1.0,0.0,float64,1
e_imag,103281,1.0,0.0,float64,1
umag,103281,1.0,0.0,float64,1
e_umag,103281,1.0,0.0,float64,1
gmag,103281,1.0,0.0,float64,1
e_gmag,103281,1.0,0.0,float64,1
e_MH,103281,1.0,0.0,float64,1
starchareFlag,103281,1.0,0.0,float64,1
MH,103281,1.0,0.0,float64,1
HIP,103260,0.999797,0.000203,float64,22
TYC,102867,0.995992,0.004008,object,415
duplicate_id,102597,0.993377,0.006623,float64,598
epos_lum,102473,0.992177,0.007823,float64,809
epos_Rad,102473,0.992177,0.007823,float64,806
epos_Mass,102473,0.992177,0.007823,float64,805
eneg_Rad,102473,0.992177,0.007823,float64,807
eneg_rho,102473,0.992177,0.007823,float64,808
eneg_Mass,102473,0.992177,0.007823,float64,806
eneg_logg,102473,0.992177,0.007823,float64,808
epos_logg,102473,0.992177,0.007823,float64,806
eneg_lum,102473,0.992177,0.007823,float64,809
epos_rho,102473,0.992177,0.007823,float64,809
epos_Teff,102466,0.992109,0.007891,float64,814
eneg_Teff,102466,0.992109,0.007891,float64,814
disposition,102369,0.99117,0.00883,object,4
e_w4mag,101856,0.986203,0.013797,float64,461
numcont,101730,0.984983,0.015017,float64,87
contratio,101730,0.984983,0.015017,float64,1552
priority,101730,0.984983,0.015017,float64,1552
APASS,100639,0.974419,0.025581,float64,2642
splists,98712,0.955761,0.044239,object,2
e_logg,97899,0.94789,0.05211,float64,5371
e_lum,97899,0.94789,0.05211,float64,5383
e_mass,97899,0.94789,0.05211,float64,5358
e_rho,97899,0.94789,0.05211,float64,5371
e_rad,97896,0.947861,0.052139,float64,5333
e_w3mag,95803,0.927596,0.072404,float64,534
UCAC,91615,0.887046,0.112954,object,11665
e_Bmag,80799,0.782322,0.217678,float64,502
BmagFlag,80775,0.78209,0.21791,object,6
Bmag,80775,0.78209,0.21791,float64,7355
e_Kmag,72208,0.699141,0.300859,float64,393
e_w2mag,67958,0.657991,0.342009,float64,375
e_w1mag,67914,0.657565,0.342435,float64,135
w4mag,67860,0.657042,0.342958,float64,1563
w3mag,67854,0.656984,0.343016,float64,3077
w2mag,67853,0.656975,0.343025,float64,6435
w1mag,67853,0.656975,0.343025,float64,6104
ALLWISE,67850,0.656946,0.343054,object,35378
e_Hmag,67438,0.652956,0.347044,float64,348
e_Jmag,64592,0.625401,0.374599,float64,328
TWOMflag,64041,0.620066,0.379934,object,681
Jmag,63742,0.617171,0.382829,float64,6068
Hmag,63742,0.617171,0.382829,float64,6326
TWOMASS,63742,0.617171,0.382829,object,39538
Kmag,63742,0.617171,0.382829,float64,6325
lum,62075,0.60103,0.39897,float64,41198
logg,62075,0.60103,0.39897,float64,33055
rho,62075,0.60103,0.39897,float64,40163
mass,62075,0.60103,0.39897,float64,4734
rad,59979,0.580736,0.419264,float64,41883
e_Teff,40369,0.390866,0.609134,float64,1329
Teff,40353,0.390711,0.609289,float64,3749
TeffFlag,40353,0.390711,0.609289,object,5
lumclass,36134,0.349861,0.650139,object,3
eneg_dist,15371,0.148827,0.851173,float64,72026
eneg_EBV,15371,0.148827,0.851173,float64,85844
epos_EBV,15371,0.148827,0.851173,float64,86200
epos_dist,15371,0.148827,0.851173,float64,62540
e_ebv,15371,0.148827,0.851173,float64,87495
EBVflag,14731,0.14263,0.85737,object,2
e_d,14690,0.142233,0.857767,float64,71333
ebv,14690,0.142233,0.857767,float64,46005
e_plx,14686,0.142195,0.857805,float64,85151
distflag,14686,0.142195,0.857805,object,3
plx,14686,0.142195,0.857805,float64,85586
PARflag,14686,0.142195,0.857805,object,3
d,14537,0.140752,0.859248,float64,78006
SPFlag,14342,0.138864,0.861136,object,6
e_pmRA,12705,0.123014,0.876986,float64,86806
pmRA,12705,0.123014,0.876986,float64,87905
PMflag,12705,0.123014,0.876986,object,7
e_pmDEC,12705,0.123014,0.876986,float64,86540
pmDEC,12705,0.123014,0.876986,float64,88650
e_Vmag,9054,0.087664,0.912336,float64,3213
Vmag,9054,0.087664,0.912336,float64,41900
VmagFlag,9054,0.087664,0.912336,object,9
gaiabp,7947,0.076945,0.923055,float64,45949
gaiarp,7942,0.076897,0.923103,float64,44779
gaiaqflag,4944,0.047869,0.952131,float64,4
raddflag,4939,0.047821,0.952179,float64,4
e_gaiabp,2154,0.020856,0.979144,float64,73705
GAIA,2154,0.020856,0.979144,float64,95410
e_gaiarp,2154,0.020856,0.979144,float64,57090
e_GAIAmag,2154,0.020856,0.979144,float64,20823
GAIAmag,2154,0.020856,0.979144,float64,46735
wdflag,381,0.003689,0.996311,float64,4
typeSrc,297,0.002876,0.997124,object,7
e_RA_orig,297,0.002876,0.997124,float64,102315
Dec_orig,297,0.002876,0.997124,float64,102822
e_Dec,297,0.002876,0.997124,float64,102315
e_RA,297,0.002876,0.997124,float64,102315
e_Dec_orig,297,0.002876,0.997124,float64,102315
RA_orig,297,0.002876,0.997124,float64,102830
e_Tmag,9,8.7e-05,0.999913,float64,6761
version,0,0.0,1.0,int64,1
objType,0,0.0,1.0,object,2
Tmag,0,0.0,1.0,float64,49013
dec,0,0.0,1.0,float64,103112
ra,0,0.0,1.0,float64,103126
eclong,0,0.0,1.0,float64,103124
gallat,0,0.0,1.0,float64,103104
eclat,0,0.0,1.0,float64,103122
POSflag,0,0.0,1.0,object,7
gallong,0,0.0,1.0,float64,103104
ID,0,0.0,1.0,int64,103281
TESSflag,0,0.0,1.0,object,17
dstArcSec,0,0.0,1.0,float64,103281
